,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
143,35.1327901362688,NA,-27.9830888722147,-11.2744753248113,1.82196247199734,NA,NA,NA,-0.0834010776251376,NA,6,-114.743584141267,247.948706744072,5.17625150617724,0.016642221083319
111,18.7568022085167,NA,31.5334129304073,-26.8589531323872,1.63120100956575,NA,50.6466255129748,-71.8138449541714,NA,NA,7,-112.452389068181,248.238111469695,5.46565623180015,0.0144001776345567
173,9.23398924507531,NA,NA,-5.02031984125663,1.89727701096769,NA,-10.1749366192053,NA,-0.104155921099962,NA,6,-114.911547320973,248.284633103484,5.51217786558979,0.014069083428701
48,84.0543903262264,0.0197217711881226,-56.1948776379366,-26.2442187483025,1.59660517845055,NA,-12.7671996158739,NA,NA,NA,7,-112.653388213126,248.640109759585,5.86765452169084,0.0117780943747979
41,43.1570382497508,NA,NA,NA,1.132761637371,NA,-12.8247433274328,NA,NA,NA,4,-119.116433216836,248.899533100338,6.12707786244317,0.0103452732742323
174,-35.9859220343745,0.0198304628845804,NA,-1.63623927989306,2.02526320077286,NA,-3.63957560914632,NA,-0.125372155568378,NA,7,-113.03023851662,249.393810366572,6.62135512867798,0.00807999370784029
11,27.228800144919,NA,-0.659811487152347,NA,1.09106197627938,NA,NA,NA,NA,NA,4,-119.365199916452,249.397066499571,6.62461126167619,0.00806684964338036
42,9.848811484324,0.0176195467556978,NA,NA,1.16728472468378,NA,-7.12448491900634,NA,NA,NA,5,-118.163021462076,250.611757209866,7.83930197197154,0.00439478087522866
12,8.81812526556089,0.0194454376669207,-9.91258866471565,NA,1.14959807873596,NA,NA,NA,NA,NA,5,-118.197355904001,250.680426093717,7.90797085582261,0.00424644953485063
175,72.5983868612957,NA,-39.0129252228858,-13.8154105120096,1.8357545457932,NA,-16.1382903988137,NA,-0.0717465862310321,NA,7,-114.176030062405,251.685393458144,8.91293822024983,0.00256921279879107
112,20.4907778838461,0.0144127626214964,7.21700550351221,-26.9973364256839,1.64834455754778,NA,38.3323305885649,-54.9101273999022,NA,NA,8,-111.362158835477,251.815226761864,9.04277152396958,0.00240772639139366
43,53.9309553033383,NA,-8.26160021595968,NA,1.13696250521492,NA,-14.1219791181599,NA,NA,NA,5,-119.088458799903,252.46263188552,9.69017664762507,0.00174190672866828
176,33.4257080598271,0.0210594640411077,-44.4616448779179,-11.4499618618161,1.9630802300611,NA,-10.0307663464233,NA,-0.0897512729382147,NA,8,-111.860715767684,252.812340626277,10.0398853883824,0.00146246879617545
239,-13.6762390123174,NA,38.4141958332258,-16.3444831823396,1.88599736434994,NA,50.81457957688,-70.2308314056232,-0.0634625197430471,NA,8,-112.051858469885,253.194626030679,10.4221707927842,0.00120802073215698
44,27.2339826082112,0.0182772768565767,-14.284652081633,NA,1.17583693276702,NA,-9.15467162717427,NA,NA,NA,6,-118.072134262905,254.605806987349,11.8333517494543,0.000596541053053283
107,-28.0246710239009,NA,62.2913035387187,NA,1.1942621391605,NA,44.9877271995872,-61.6385638568113,NA,NA,6,-118.134011973296,254.72956240813,11.9571071702354,0.000560747296408249
240,-19.8828533905968,0.0159628308846591,13.2067874659466,-13.8630319488585,1.96883157975007,NA,37.217988997703,-51.1124758284959,-0.0793649672113173,NA,9,-110.667117999744,257.334235999489,14.5617807615941,0.000152464770512053
30,23.3830822324853,0.0549667615899928,NA,-22.1654099232801,1.56588683593055,+,NA,NA,NA,NA,10,-106.625238522486,257.694921489416,14.9224662515219,0.000127305640252892
108,-26.5889770287818,0.0138600465455967,39.0598020293361,NA,1.20858337352095,NA,33.1176362621511,-45.3326733425541,NA,NA,7,-117.577521445243,258.488376223819,15.7159209859243,8.561525194118e-05
1,127.64445271015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-127.681126312902,260.068134978745,17.2956797408507,3.88607236866689e-05
25,62.9032592817871,NA,NA,NA,1.25298416027491,+,NA,NA,NA,NA,8,-115.880271326608,260.851451744125,18.0789965062309,2.62673227061358e-05
26,43.8333417253639,0.0442946304764755,NA,NA,1.2583492346917,+,NA,NA,NA,NA,9,-112.970099042449,261.940198084897,19.1677428470029,1.52404414080178e-05
29,50.3196054033333,NA,NA,-17.5913253951157,1.49603199359532,+,NA,NA,NA,NA,9,-113.261149019663,262.522298039326,19.7498428014311,1.13918995427798e-05
5,118.021621774638,NA,NA,5.53036260661579,NA,NA,NA,NA,NA,NA,3,-127.561294557521,262.622589115042,19.8501338771472,1.0834733067453e-05
33,108.290832398583,NA,NA,NA,NA,NA,12.0960126947292,NA,NA,NA,3,-127.578031407541,262.656062815083,19.8836075771885,1.0654902858556e-05
2,119.702984798248,0.0066670594903265,NA,NA,NA,NA,NA,NA,NA,NA,3,-127.620712604734,262.741425209467,19.9689699715729,1.02097071728043e-05
3,128.431792431859,NA,-0.71576338337181,NA,NA,NA,NA,NA,NA,NA,3,-127.681029047326,262.862058094652,20.0896028567572,9.61209795512567e-06
158,-4.36811624042487,0.049053878719102,NA,-4.02729172048431,1.98874190646219,+,NA,NA,-0.105085326597649,NA,11,-105.035451966049,265.070903932098,22.2984486942039,3.18546918822449e-06
34,91.1694792400886,0.00963091163464754,NA,NA,NA,NA,15.6269456727818,NA,NA,NA,4,-127.45916852491,265.585003716487,22.8125484785927,2.46341770772082e-06
6,107.754115016245,0.00784494583115388,NA,6.06082210754389,NA,NA,NA,NA,NA,NA,4,-127.477655387003,265.621977440673,22.8495222027787,2.41829521601798e-06
37,103.270975045769,NA,NA,4.75565433424492,NA,NA,10.0616494517466,NA,NA,NA,4,-127.491595670064,265.649858006795,22.8774027689001,2.3848173835608e-06
7,107.599289611691,NA,8.49406375287181,6.15039825879283,NA,NA,NA,NA,NA,NA,4,-127.548939365918,265.764545398502,22.9920901606078,2.2519102517961e-06
35,99.9021392641949,NA,6.29151985079129,NA,NA,NA,13.0135260063029,NA,NA,NA,4,-127.571032313578,265.808731293822,23.0362760559277,2.20270446829023e-06
4,123.802281113494,0.00693493149284614,-4.01670186458845,NA,NA,NA,NA,NA,NA,NA,4,-127.617728347132,265.902123360931,23.1296681230369,2.10221147845462e-06
32,61.9038913424258,0.0580483402655658,-32.9063569063067,-25.8777747810223,1.59687012655789,+,NA,NA,NA,NA,11,-105.708424530138,266.416849060276,23.6443938223815,1.62519372803861e-06
157,2.12038743623931,NA,NA,10.1594067863824,2.17284361390022,+,NA,NA,-0.165260250143819,NA,10,-111.01605597651,266.476556397464,23.7041011595695,1.57739279974492e-06
57,80.8569880050348,NA,NA,NA,1.34106099823456,+,-19.0310553904595,NA,NA,NA,9,-115.350281120915,266.700562241831,23.9281070039363,1.41025485340502e-06
27,33.0353359421832,NA,23.124077901904,NA,1.26751738234622,+,NA,NA,NA,NA,9,-115.656623419467,267.313246838934,24.5407916010395,1.03813739032007e-06
62,26.8532389095976,0.0538390857020761,NA,-22.1043189139007,1.57933388488246,+,-3.1174390475261,NA,NA,NA,11,-106.594226461766,268.188452923531,25.415997685637,6.70202813493186e-07
38,84.5894427349901,0.0102603857162318,NA,5.17356848516411,NA,NA,13.644588978178,NA,NA,NA,5,-127.356077987203,268.997870260121,26.2254150222262,4.47139982252169e-07
36,86.860256710906,0.00948731044724897,3.42338215506036,NA,NA,NA,16.0735411183981,NA,NA,NA,5,-127.457098602885,269.199911491485,26.4274562535902,4.04176267826441e-07
39,83.5675546641571,NA,14.066303571327,5.65409018462229,NA,NA,11.7286544976815,NA,NA,NA,5,-127.459365025215,269.204444336143,26.431989098249,4.03261270984333e-07
8,101.605595609259,0.00756231224601248,5.31243621255021,6.42949944554471,NA,NA,NA,NA,NA,NA,5,-127.472892809449,269.231499904613,26.4590446667185,3.97842772293079e-07
99,79.8942357543859,NA,24.2010061108335,NA,NA,NA,28.2074134725291,-15.4856460143222,NA,NA,5,-127.545482065508,269.376678416731,26.6042231788361,3.69986910018955e-07
61,69.0446833952162,NA,NA,-17.8015124683388,1.59153451041682,+,-20.0080658533302,NA,NA,NA,10,-112.491308522825,269.427061490095,26.6546062522001,3.60782790905202e-07
28,21.1571404268274,0.0435949995833555,17.7893655310604,NA,1.26944490921328,+,NA,NA,NA,NA,10,-112.79430127914,270.033047002725,27.26059176483,2.6647577360819e-07
58,49.9262977316742,0.0423344465375623,NA,NA,1.28386243228956,+,-5.56402210638226,NA,NA,NA,10,-112.917549498107,270.279543440658,27.5070882027638,2.35576361775525e-07
31,65.704959512902,NA,-12.6471162299929,-18.9195656119292,1.50643484976566,+,NA,NA,NA,NA,10,-113.192015904088,270.82847625262,28.0560210147258,1.79032742613308e-07
40,69.3317139492897,0.00986878814095025,11.4015281710524,5.88585104556262,NA,NA,14.8590437245817,NA,NA,NA,6,-127.33482422314,273.131186907818,30.3587316699237,5.66115699921602e-08
103,61.3183162091364,NA,33.8251431724166,5.7836709751507,NA,NA,28.3108675503038,-16.9306429457375,NA,NA,6,-127.428531979308,273.318602420154,30.5461471822594,5.15475985739612e-08
