NW_022638319.1	unplaced_scaffold_1063_arrow_ctg1
NW_022638320.1	unplaced_scaffold_1064_arrow_ctg1
NW_022638321.1	unplaced_scaffold_1065_arrow_ctg1
NW_022638322.1	unplaced_scaffold_1066_arrow_ctg1
NW_022638323.1	unplaced_scaffold_1067_arrow_ctg1
NW_022638324.1	unplaced_scaffold_1068_arrow_ctg1
NW_022638325.1	unplaced_scaffold_1069_arrow_ctg1
NW_022638326.1	unplaced_scaffold_1070_arrow_ctg1
NW_022638327.1	unplaced_scaffold_1071_arrow_ctg1
NW_022638328.1	unplaced_scaffold_1072_arrow_ctg1
NW_022638329.1	unplaced_scaffold_1073_arrow_ctg1
NW_022638330.1	unplaced_scaffold_1074_arrow_ctg1
NW_022638331.1	unplaced_scaffold_1075_arrow_ctg1
NW_022638332.1	unplaced_scaffold_1076_arrow_ctg1
NW_022638333.1	unplaced_scaffold_1077_arrow_ctg1
NW_022638334.1	unplaced_scaffold_1078_arrow_ctg1
NW_022638335.1	unplaced_scaffold_1079_arrow_ctg1
NW_022638336.1	unplaced_scaffold_1080_arrow_ctg1
NW_022638337.1	unplaced_scaffold_1081_arrow_ctg1
NW_022638338.1	unplaced_scaffold_1082_arrow_ctg1
NW_022638339.1	unplaced_scaffold_1083_arrow_ctg1
NW_022638340.1	unplaced_scaffold_1084_arrow_ctg1
NW_022638341.1	unplaced_scaffold_1085_arrow_ctg1
NW_022638342.1	unplaced_scaffold_1086_arrow_ctg1
NW_022638343.1	unplaced_scaffold_1087_arrow_ctg1
NW_022638344.1	unplaced_scaffold_1088_arrow_ctg1
NW_022638345.1	unplaced_scaffold_1089_arrow_ctg1
NW_022638346.1	unplaced_scaffold_1090_arrow_ctg1
NW_022638347.1	unplaced_scaffold_1091_arrow_ctg1
NW_022638348.1	unplaced_scaffold_1092_arrow_ctg1
NW_022638349.1	unplaced_scaffold_1093_arrow_ctg1
NW_022638350.1	unplaced_scaffold_1094_arrow_ctg1
NW_022638351.1	unplaced_scaffold_1095_arrow_ctg1
NW_022638352.1	unplaced_scaffold_1096_arrow_ctg1
NW_022638353.1	unplaced_scaffold_1097_arrow_ctg1
NW_022638354.1	unplaced_scaffold_1098_arrow_ctg1
NW_022638355.1	unplaced_scaffold_1099_arrow_ctg1
NW_022638356.1	unplaced_scaffold_1100_arrow_ctg1
NW_022638357.1	unplaced_scaffold_1101_arrow_ctg1
NW_022638358.1	unplaced_scaffold_1102_arrow_ctg1
NW_022638359.1	unplaced_scaffold_1103_arrow_ctg1
NW_022638360.1	unplaced_scaffold_1104_arrow_ctg1
NW_022638361.1	unplaced_scaffold_1105_arrow_ctg1
NW_022638362.1	unplaced_scaffold_1106_arrow_ctg1
NW_022638363.1	unplaced_scaffold_1107_arrow_ctg1
NW_022638364.1	unplaced_scaffold_1108_arrow_ctg1
NW_022638365.1	unplaced_scaffold_1109_arrow_ctg1
NW_022638366.1	unplaced_scaffold_1110_arrow_ctg1
NW_022638367.1	unplaced_scaffold_1111_arrow_ctg1
NW_022638368.1	unplaced_scaffold_1112_arrow_ctg1
NW_022638369.1	unplaced_scaffold_1113_arrow_ctg1
NW_022638370.1	unplaced_scaffold_1114_arrow_ctg1
NW_022638371.1	unplaced_scaffold_1115_arrow_ctg1
NW_022638372.1	unplaced_scaffold_1116_arrow_ctg1
NW_022638373.1	unplaced_scaffold_1117_arrow_ctg1
NW_022638374.1	unplaced_scaffold_1118_arrow_ctg1
NW_022638375.1	unplaced_scaffold_1119_arrow_ctg1
NW_022638376.1	unplaced_scaffold_1120_arrow_ctg1
NW_022638377.1	unplaced_scaffold_1121_arrow_ctg1
NW_022638378.1	unplaced_scaffold_1122_arrow_ctg1
NW_022638379.1	unplaced_scaffold_1123_arrow_ctg1
NW_022638380.1	unplaced_scaffold_1124_arrow_ctg1
NW_022638381.1	unplaced_scaffold_1125_arrow_ctg1
NW_022638382.1	unplaced_scaffold_1126_arrow_ctg1
NW_022638383.1	unplaced_scaffold_1127_arrow_ctg1
NW_022638384.1	unplaced_scaffold_1128_arrow_ctg1
NW_022638385.1	unplaced_scaffold_1129_arrow_ctg1
NW_022638386.1	unplaced_scaffold_1130_arrow_ctg1
NW_022638387.1	unplaced_scaffold_1131_arrow_ctg1
NW_022638388.1	unplaced_scaffold_1132_arrow_ctg1
NW_022638389.1	unplaced_scaffold_1133_arrow_ctg1
NW_022638390.1	unplaced_scaffold_1134_arrow_ctg1
NW_022638391.1	unplaced_scaffold_1135_arrow_ctg1
NW_022638392.1	unplaced_scaffold_1136_arrow_ctg1
NW_022638393.1	unplaced_scaffold_1137_arrow_ctg1
NW_022638394.1	unplaced_scaffold_1138_arrow_ctg1
NW_022638395.1	unplaced_scaffold_1139_arrow_ctg1
NW_022638396.1	unplaced_scaffold_1140_arrow_ctg1
NW_022638397.1	unplaced_scaffold_1141_arrow_ctg1
NW_022638398.1	unplaced_scaffold_1142_arrow_ctg1
NW_022638399.1	unplaced_scaffold_1143_arrow_ctg1
NW_022638400.1	unplaced_scaffold_1144_arrow_ctg1
NW_022638401.1	unplaced_scaffold_1145_arrow_ctg1
NW_022638402.1	unplaced_scaffold_1146_arrow_ctg1
NW_022638403.1	unplaced_scaffold_1147_arrow_ctg1
NW_022638404.1	unplaced_scaffold_1148_arrow_ctg1
NW_022638405.1	unplaced_scaffold_1149_arrow_ctg1
NW_022638406.1	unplaced_scaffold_1150_arrow_ctg1
NW_022638407.1	unplaced_scaffold_1151_arrow_ctg1
NW_022638408.1	unplaced_scaffold_1152_arrow_ctg1
NW_022638409.1	unplaced_scaffold_1153_arrow_ctg1
NW_022638410.1	unplaced_scaffold_1154_arrow_ctg1
NW_022638411.1	unplaced_scaffold_1155_arrow_ctg1
NW_022638412.1	unplaced_scaffold_1156_arrow_ctg1
NW_022638413.1	unplaced_scaffold_1157_arrow_ctg1
NW_022638414.1	unplaced_scaffold_1158_arrow_ctg1
NW_022638415.1	unplaced_scaffold_1159_arrow_ctg1
NW_022638416.1	unplaced_scaffold_1160_arrow_ctg1
NW_022638417.1	unplaced_scaffold_1161_arrow_ctg1
NW_022638418.1	unplaced_scaffold_1162_arrow_ctg1
NW_022638419.1	unplaced_scaffold_1163_arrow_ctg1
NW_022638420.1	unplaced_scaffold_1164_arrow_ctg1
NW_022638421.1	unplaced_scaffold_1165_arrow_ctg1
NW_022638422.1	unplaced_scaffold_1166_arrow_ctg1
NW_022638423.1	unplaced_scaffold_1167_arrow_ctg1
NW_022638424.1	unplaced_scaffold_1168_arrow_ctg1
NW_022638425.1	unplaced_scaffold_1169_arrow_ctg1
NW_022638426.1	unplaced_scaffold_1170_arrow_ctg1
NW_022638427.1	unplaced_scaffold_1171_arrow_ctg1
NW_022638428.1	unplaced_scaffold_1172_arrow_ctg1
NW_022638429.1	unplaced_scaffold_1173_arrow_ctg1
NW_022638430.1	unplaced_scaffold_1174_arrow_ctg1
NW_022638431.1	unplaced_scaffold_1175_arrow_ctg1
NW_022638432.1	unplaced_scaffold_1176_arrow_ctg1
NW_022638433.1	unplaced_scaffold_1177_arrow_ctg1
NW_022638434.1	unplaced_scaffold_1178_arrow_ctg1
NW_022638435.1	unplaced_scaffold_1179_arrow_ctg1
NW_022638436.1	unplaced_scaffold_1180_arrow_ctg1
NW_022638437.1	unplaced_scaffold_1181_arrow_ctg1
NW_022638438.1	unplaced_scaffold_1182_arrow_ctg1
NW_022638439.1	unplaced_scaffold_1183_arrow_ctg1
NW_022638440.1	unplaced_scaffold_1184_arrow_ctg1
NW_022638441.1	unplaced_scaffold_1185_arrow_ctg1
NW_022638442.1	unplaced_scaffold_1186_arrow_ctg1
NW_022638443.1	unplaced_scaffold_1187_arrow_ctg1
NW_022638444.1	unplaced_scaffold_1188_arrow_ctg1
NW_022638445.1	unplaced_scaffold_1189_arrow_ctg1
NW_022638446.1	unplaced_scaffold_1190_arrow_ctg1
NW_022638447.1	unplaced_scaffold_1191_arrow_ctg1
NW_022638448.1	unplaced_scaffold_1192_arrow_ctg1
NW_022638449.1	unplaced_scaffold_1193_arrow_ctg1
NW_022638450.1	unplaced_scaffold_1194_arrow_ctg1
NW_022638451.1	unplaced_scaffold_1195_arrow_ctg1
NW_022638452.1	unplaced_scaffold_1196_arrow_ctg1
NW_022638453.1	unplaced_scaffold_1197_arrow_ctg1
NW_022638454.1	unplaced_scaffold_1198_arrow_ctg1
NW_022638455.1	unplaced_scaffold_1199_arrow_ctg1
NW_022638456.1	unplaced_scaffold_1200_arrow_ctg1
NW_022638457.1	unplaced_scaffold_1201_arrow_ctg1
NW_022638458.1	unplaced_scaffold_1202_arrow_ctg1
NW_022638459.1	unplaced_scaffold_1203_arrow_ctg1
NW_022638460.1	unplaced_scaffold_1204_arrow_ctg1
NW_022638461.1	unplaced_scaffold_1205_arrow_ctg1
NW_022638462.1	unplaced_scaffold_1206_arrow_ctg1
NW_022638463.1	unplaced_scaffold_1207_arrow_ctg1
NW_022638464.1	unplaced_scaffold_1208_arrow_ctg1
NW_022638465.1	unplaced_scaffold_1209_arrow_ctg1
NW_022638466.1	unplaced_scaffold_120_arrow_ctg1B
NW_022638467.1	unplaced_scaffold_120_arrow_ctg1C
NW_022638468.1	unplaced_scaffold_120_arrow_ctg1D
NW_022638469.1	unplaced_scaffold_120_arrow_ctg1E
NW_022638470.1	unplaced_scaffold_1210_arrow_ctg1
NW_022638471.1	unplaced_scaffold_1211_arrow_ctg1
NW_022638472.1	unplaced_scaffold_1212_arrow_ctg1
NW_022638473.1	unplaced_scaffold_1213_arrow_ctg1
NW_022638474.1	unplaced_scaffold_1214_arrow_ctg1
NW_022638475.1	unplaced_scaffold_1215_arrow_ctg1
NW_022638476.1	unplaced_scaffold_1216_arrow_ctg1
NW_022638477.1	unplaced_scaffold_1217_arrow_ctg1
NW_022638478.1	unplaced_scaffold_1218_arrow_ctg1
NW_022638479.1	unplaced_scaffold_1219_arrow_ctg1
NW_022638480.1	unplaced_scaffold_1220_arrow_ctg1
NW_022638481.1	unplaced_scaffold_1221_arrow_ctg1
NW_022638482.1	unplaced_scaffold_1222_arrow_ctg1
NW_022638483.1	unplaced_scaffold_1223_arrow_ctg1
NW_022638484.1	unplaced_scaffold_1224_arrow_ctg1
NW_022638485.1	unplaced_scaffold_1225_arrow_ctg1
NW_022638486.1	unplaced_scaffold_1226_arrow_ctg1
NW_022638487.1	unplaced_scaffold_1227_arrow_ctg1
NW_022638488.1	unplaced_scaffold_1228_arrow_ctg1
NW_022638489.1	unplaced_scaffold_1229_arrow_ctg1
NW_022638490.1	unplaced_scaffold_1230_arrow_ctg1
NW_022638491.1	unplaced_scaffold_1231_arrow_ctg1
NW_022638492.1	unplaced_scaffold_1232_arrow_ctg1
NW_022638493.1	unplaced_scaffold_1233_arrow_ctg1
NW_022638494.1	unplaced_scaffold_1234_arrow_ctg1
NW_022638495.1	unplaced_scaffold_1235_arrow_ctg1
NW_022638496.1	unplaced_scaffold_1236_arrow_ctg1
NW_022638497.1	unplaced_scaffold_1237_arrow_ctg1
NW_022638498.1	unplaced_scaffold_1238_arrow_ctg1
NW_022638499.1	unplaced_scaffold_1239_arrow_ctg1
NW_022638500.1	unplaced_scaffold_1240_arrow_ctg1
NW_022638501.1	unplaced_scaffold_1241_arrow_ctg1
NW_022638502.1	unplaced_scaffold_1242_arrow_ctg1
NW_022638503.1	unplaced_scaffold_1243_arrow_ctg1
NW_022638504.1	unplaced_scaffold_1244_arrow_ctg1
